target temperature;Temperature;PID output;proportional part; integral part;differential part;Calculated temperature;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;225;65436;65286;0;0;200;;;;;
200;224;65436;65296;0;5;200;;;;;
200;224;65436;65296;0;5;200;;;;;
200;224;65436;65296;0;5;200;;;;;
200;224;65436;65296;0;5;200;;;;;
200;224;65436;65296;0;5;200;;;;;
200;224;65436;65296;0;5;200;;;;;
200;224;65436;65296;0;5;200;;;;;
200;224;65436;65296;0;5;200;;;;;
200;224;65436;65296;0;5;200;;;;;
200;224;65436;65296;0;0;200;;;;;
200;224;65436;65296;0;0;200;;;;;
200;224;65436;65296;0;0;200;;;;;
200;224;65436;65296;0;0;200;;;;;
200;224;65436;65296;0;0;200;;;;;
200;224;65436;65296;0;0;200;;;;;
200;223;65436;65296;0;0;200;;;;;
200;223;65436;65306;0;5;200;;;;;
200;223;65436;65306;0;5;200;;;;;
200;223;65436;65306;0;5;200;;;;;
200;223;65436;65306;0;5;200;;;;;
200;222;65436;65306;0;5;200;;;;;
200;222;65436;65306;0;5;200;;;;;
200;222;65436;65316;0;10;200;;;;;
200;222;65436;65316;0;10;200;;;;;
200;222;65436;65316;0;10;200;;;;;
200;222;65436;65316;0;5;200;;;;;
200;222;65436;65316;0;5;200;;;;;
200;222;65436;65316;0;5;200;;;;;
200;222;65436;65316;0;5;200;;;;;
200;222;65436;65316;0;5;200;;;;;
200;222;65436;65316;0;5;200;;;;;
200;222;65436;65316;0;0;200;;;;;
200;222;65436;65316;0;0;200;;;;;
200;222;65436;65316;0;0;200;;;;;
200;221;65436;65326;0;5;200;;;;;
200;221;65436;65326;0;5;200;;;;;
200;221;65436;65326;0;5;200;;;;;
200;221;65436;65326;0;5;200;;;;;
200;221;65436;65326;0;5;200;;;;;
200;221;65436;65326;0;5;200;;;;;
200;221;65436;65326;0;5;200;;;;;
200;221;65436;65326;0;5;200;;;;;
200;221;65436;65326;0;5;200;;;;;
200;221;65436;65326;0;0;200;;;;;
200;221;65436;65326;0;0;200;;;;;
200;220;65436;65336;0;5;200;;;;;
200;220;65436;65336;0;5;200;;;;;
200;220;65436;65336;0;5;200;;;;;
200;220;65436;65336;0;5;200;;;;;
200;219;65436;65336;0;5;200;;;;;
200;219;65436;65336;0;5;200;;;;;
200;219;65436;65346;0;10;200;;;;;
200;219;65436;65346;0;10;200;;;;;
200;219;65436;65346;0;10;200;;;;;
200;219;65436;65346;0;5;200;;;;;
200;219;65436;65346;0;5;200;;;;;
200;219;65436;65346;0;5;200;;;;;
200;219;65436;65346;0;5;200;;;;;
200;219;65436;65346;0;5;200;;;;;
200;219;65436;65346;0;5;200;;;;;
200;219;65436;65346;0;0;200;;;;;
200;218;65436;65346;0;0;200;;;;;
200;218;65436;65356;0;5;200;;;;;
200;218;65436;65356;0;5;200;;;;;
200;218;65436;65356;0;5;200;;;;;
200;218;65436;65356;0;5;200;;;;;
200;218;65436;65356;0;5;200;;;;;
200;218;65436;65356;0;5;200;;;;;
200;218;65436;65356;0;5;200;;;;;
200;218;65436;65356;0;5;200;;;;;
200;218;65436;65356;0;5;200;;;;;
200;218;65436;65356;0;0;200;;;;;
200;217;65436;65356;0;0;200;;;;;
200;217;65436;65366;0;5;200;;;;;
200;217;65436;65366;0;5;200;;;;;
200;217;65436;65366;0;5;200;;;;;
200;217;65436;65366;0;5;200;;;;;
200;216;65436;65366;0;5;200;;;;;
200;216;65436;65376;0;10;200;;;;;
200;216;65436;65376;0;10;200;;;;;
200;216;65436;65376;0;10;200;;;;;
200;216;65436;65376;0;10;200;;;;;
200;216;65436;65376;0;5;200;;;;;
200;216;65436;65376;0;5;200;;;;;
200;216;65436;65376;0;5;200;;;;;
200;216;65436;65376;0;5;200;;;;;
200;216;65436;65376;0;5;200;;;;;
200;216;65436;65376;0;0;200;;;;;
200;215;65436;65376;0;0;200;;;;;
200;215;65436;65386;0;5;200;;;;;
200;215;65436;65386;0;5;200;;;;;
200;215;65436;65386;0;5;200;;;;;
200;215;65436;65386;0;5;200;;;;;
200;214;65436;65396;0;10;200;;;;;
200;214;65436;65396;0;10;200;;;;;
200;214;65436;65396;0;10;200;;;;;
200;214;65436;65396;0;10;200;;;;;
200;214;65436;65386;0;5;200;;;;;
200;214;65436;65396;0;5;200;;;;;
200;214;65436;65396;0;5;200;;;;;
200;214;65436;65396;0;5;200;;;;;
200;214;65436;65396;0;5;200;;;;;
200;214;65436;65396;0;0;200;;;;;
200;214;65436;65396;0;0;200;;;;;
200;214;65436;65396;0;0;200;;;;;
200;214;65436;65396;0;0;200;;;;;
200;213;65436;65396;0;5;200;;;;;
200;213;65436;65406;0;5;200;;;;;
200;214;65436;65406;0;5;200;;;;;
200;214;65436;65396;0;0;200;;;;;
200;213;65436;65396;0;0;200;;;;;
200;213;65436;65396;0;0;200;;;;;
200;213;65436;65396;0;0;200;;;;;
200;213;65436;65406;0;0;200;;;;;
200;213;65436;65406;0;0;200;;;;;
200;213;65436;65406;0;0;200;;;;;
200;213;65436;65416;0;0;200;;;;;
200;212;65436;65416;0;0;200;;;;;
200;212;65436;65416;0;5;200;;;;;
200;212;65436;65416;0;5;200;;;;;
200;212;65436;65416;0;5;200;;;;;
200;212;65436;65416;0;5;200;;;;;
200;211;65436;65416;0;5;200;;;;;
200;211;65436;65416;0;5;200;;;;;
200;212;65436;65416;0;5;200;;;;;
200;212;65436;65416;0;0;200;;;;;
200;212;65436;65416;0;0;200;;;;;
200;211;65436;65426;0;5;200;;;;;
200;211;65436;65416;0;0;200;;;;;
200;211;65436;65426;0;5;200;;;;;
200;211;65436;65426;0;5;200;;;;;
200;211;65436;65426;0;5;200;;;;;
200;211;65436;65426;0;5;200;;;;;
200;211;65436;65426;0;5;200;;;;;
200;211;65436;65426;0;5;200;;;;;
200;211;65436;65426;0;5;200;;;;;
200;211;65436;65426;0;0;200;;;;;
200;211;65436;65426;0;5;200;;;;;
